Branch Name,District,Branch Code
Boru Jawi Branch,ASELLA DISTRICT,10325
Dabe Soloke Branch,ADAMA DISTRICT,10326
Oda Bisil Branch,WESTERN FINFINE DISTRICT,10327
Dire Sololiya,WESTERN FINFINE DISTRICT,10328
Sechduna Branch,HOSSANA DISTRICT,10329
Hurufa Rare Branch,CENTRAL FINFINE DISTRICT,10330
Chafe Arara Branch,NORTH FINFINE DISTRICT,10331
Kuyera Branch,SHASHEMENE DISTRICT,10332
Qajela Doyo Branch,WESTERN FINFINE DISTRICT,10333
GeneralWakoGutu Branch,BALE DISTRICT,10334
Ali Branch,BALE DISTRICT,10335
Halaba Kulito Branch,HOSSANA DISTRICT,10336
Dolosebro Branch,BALE DISTRICT,10337
Kobo Branch,CHIRO DISTRICT,10338
Jara Abageda Branch,DIRE DAWA DISTRICT,10339
Michata Branch,CHIRO DISTRICT,10340
Ahmed Imam Branch,DIRE DAWA DISTRICT,10341
Hirmata Branch,JIMMA DISTRICT,10342
Merde Branch,SOUTH FINFINE DISTRICT,10343
Bonaya Boshe Branch,NEKEMTE DISTRICT,10344
Gudetu Arjo Branch,NEKEMTE DISTRICT,10345
Oda Bilbila Branch,SHASHEMENE DISTRICT,10346
Bishan Guracha Branch,SHASHEMENE DISTRICT,10347
Koka Branch,ADAMA DISTRICT,10348
Burka Branch,ADAMA DISTRICT,10349
Ganda Hara Branch,ADAMA DISTRICT,10350
Kiltu Lume Branch,ADAMA DISTRICT,10351
Warka Branch,HAWASSA DISTRICT,10352
Abichu Nya'a Branch,NORTH FINFINE DISTRICT,10353
Gawassa Branch,EASTERN FINFINE DISTRICT,10354
Tufa Muna Branch,NORTH FINFINE DISTRICT,10355
Shabe Branch,JIMMA DISTRICT,10356
Awetu Branch,JIMMA DISTRICT,10357
Gachi Branch,JIMMA DISTRICT,10358
Sokoru Branch,JIMMA DISTRICT,10359
Omo Nada Branch,JIMMA DISTRICT,10360
Goro Muti Branch,DIRE DAWA DISTRICT,10361
Makkat Al-Mukkarama,WESTERN FINFINE DISTRICT,10362
Tana Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10363
Bole Arabsa Branch,EASTERN FINFINE DISTRICT,10364
Xadacha Branch,EASTERN FINFINE DISTRICT,10365
Anole Micro Branch,ASELLA DISTRICT,10366
Meraro Branch,ASELLA DISTRICT,10367
Burka Walabu Branch,BALE DISTRICT,10368
Hara Kello Branch,HAWASSA DISTRICT,10369
Gara Baru Branch,ADAMA DISTRICT,10370
Ogolcho Branch,ASELLA DISTRICT,10371
Haro Adi Branch,ADAMA DISTRICT,10372
Baro Korma Branch,CENTRAL FINFINE DISTRICT,10373
