Branch Name,District,Branch Code
Midhaga Branch,DIRE DAWA DISTRICT,10607
Mustafa Harawe Branch,DIRE DAWA DISTRICT,10501
Qulubi Branch,DIRE DAWA DISTRICT,10593
Ramadan Branch,DIRE DAWA DISTRICT,10541
Sabian Branch,DIRE DAWA DISTRICT,10063
Sheik Bekri Sapello,DIRE DAWA DISTRICT,10430
Taiwan Branch,DIRE DAWA DISTRICT,10517
Togo Wuchale Branch,DIRE DAWA DISTRICT,10049
Weltea Branch,DIRE DAWA DISTRICT,10284
22 Mazoria Branch,EASTERN FINFINE DISTRICT,10107
Abebech Gobana Branch,EASTERN FINFINE DISTRICT,10550
Abebie Tufa Branch,EASTERN FINFINE DISTRICT,10140
Airport Forex Bureau,EASTERN FINFINE DISTRICT,10466
Akaki Branch,EASTERN FINFINE DISTRICT,10075
Baro Tumsa Branch,EASTERN FINFINE DISTRICT,10420
Beshale Branch,EASTERN FINFINE DISTRICT,10449
Bole Airport Branch,EASTERN FINFINE DISTRICT,10474
Bole Arabsa Branch,EASTERN FINFINE DISTRICT,10364
Bole Atlas Branch,EASTERN FINFINE DISTRICT,10164
Bole Bulbula Branch,EASTERN FINFINE DISTRICT,10196
Bole Cargo Branch,EASTERN FINFINE DISTRICT,10490
Bole Lami Branch,EASTERN FINFINE DISTRICT,10261
Bole Medanealem Branch,EASTERN FINFINE DISTRICT,10117
Bole Michael Branch,EASTERN FINFINE DISTRICT,10056
Bole Ruwanda Branch,EASTERN FINFINE DISTRICT,10104
Boru Bilo Branch,EASTERN FINFINE DISTRICT,10624
Burqa Shobbe Branch,EASTERN FINFINE DISTRICT,10620
Damo Dadi Branch,EASTERN FINFINE DISTRICT,10481
Dhaga Bora Branch,EASTERN FINFINE DISTRICT,10545
Dukem industry zone,EASTERN FINFINE DISTRICT,10577
Dulo Branch,EASTERN FINFINE DISTRICT,10451
Eka Abado Branch,EASTERN FINFINE DISTRICT,10258
Erer Branch,EASTERN FINFINE DISTRICT,10102
Figa Branch,EASTERN FINFINE DISTRICT,10589
Gara Bushu Branch,EASTERN FINFINE DISTRICT,10604
Gara Duba Branch,EASTERN FINFINE DISTRICT,10539
Gawassa Branch,EASTERN FINFINE DISTRICT,10354
Gelan Branch,EASTERN FINFINE DISTRICT,10035
Gerji Branch,EASTERN FINFINE DISTRICT,10057
Gurd Shola Branch,EASTERN FINFINE DISTRICT,10149
Haile Gebre Branch,EASTERN FINFINE DISTRICT,10180
Handhura Tulama Branch,EASTERN FINFINE DISTRICT,10388
Haramain Branch,EASTERN FINFINE DISTRICT,10414
Harbu Branch,EASTERN FINFINE DISTRICT,10405
Jate Branch,EASTERN FINFINE DISTRICT,10459
Karra Qallu Branch,EASTERN FINFINE DISTRICT,10070
Kura Jida Branch,EASTERN FINFINE DISTRICT,10482
Lami Industrial park,EASTERN FINFINE DISTRICT,10557
Lauret Tsegaye,EASTERN FINFINE DISTRICT,10606
Lemo Branch,EASTERN FINFINE DISTRICT,10460
Mammo Mazamir Branch,EASTERN FINFINE DISTRICT,10560
Melba Branch,EASTERN FINFINE DISTRICT,10444
Migira Branch,EASTERN FINFINE DISTRICT,10489
Oda Nabe Branch,EASTERN FINFINE DISTRICT,10154
Sadan Ekka Branch,EASTERN FINFINE DISTRICT,10236
Saris Branch,EASTERN FINFINE DISTRICT,10071
Shabu Ejersa Branch,EASTERN FINFINE DISTRICT,10406
Shala Branch,EASTERN FINFINE DISTRICT,10443
Tirunesh Dibaba Branch,EASTERN FINFINE DISTRICT,10110
Tulu Dimtu Branch,EASTERN FINFINE DISTRICT,10425
Wara Ganu Branch,EASTERN FINFINE DISTRICT,10392
Xadacha Branch,EASTERN FINFINE DISTRICT,10365
AL-Nasir Branch,HAWASSA DISTRICT,10584
Adola Branch,HAWASSA DISTRICT,10041
Alamura Branch,HAWASSA DISTRICT,10526
Aleta Wondo Branch,HAWASSA DISTRICT,10627
Bensa Daye Branch,HAWASSA DISTRICT,10394
Beriso Dukale Micro,HAWASSA DISTRICT,10437
Birbirsa Kojowa Branch,HAWASSA DISTRICT,10677
Bore Branch,HAWASSA DISTRICT,10299
Bule Hora Branch,HAWASSA DISTRICT,10015
Chelelektu Branch,HAWASSA DISTRICT,10642
Chuko Branch,HAWASSA DISTRICT,10641
DERARO BRANCH,HAWASSA DISTRICT,
Deri Kidame Branch,HAWASSA DISTRICT,10675
Dilla Branch,HAWASSA DISTRICT,10040
Dollo Ado Branch,HAWASSA DISTRICT,10462
EL-Waye Branch,HAWASSA DISTRICT,10674
Fura Branch,HAWASSA DISTRICT,10136
Gedeb Branch,HAWASSA DISTRICT,10532
Gromole Thermo-House,HAWASSA DISTRICT,10678
Gudetu Robale Branch,HAWASSA DISTRICT,10676
Hara Kello Branch,HAWASSA DISTRICT,10369
Hawasa Industrial Park,HAWASSA DISTRICT,
Hawassa Branch,HAWASSA DISTRICT,10067
Haya Dima Branch,HAWASSA DISTRICT,10603
Laku Branch,HAWASSA DISTRICT,10487
Madha Galma Branch,HAWASSA DISTRICT,10488
Moyale Branch,HAWASSA DISTRICT,10129
Negele Borena Branch,HAWASSA DISTRICT,10106
Nur Branch,HAWASSA DISTRICT,10486
Odo Shakiso Branch,HAWASSA DISTRICT,10052
Qarcha Branch,HAWASSA DISTRICT,10240
Shafeta Branch,HAWASSA DISTRICT,10525
Sumuda Branch,HAWASSA DISTRICT,10378
Tabor Branch,HAWASSA DISTRICT,10259
Taltale Branch,HAWASSA DISTRICT,10380
Tullu Farda,HAWASSA DISTRICT,
Uraga Branch,HAWASSA DISTRICT,10167
Wadera Branch,HAWASSA DISTRICT,10379
Warka Branch,HAWASSA DISTRICT,10352
Yabello Branch,HAWASSA DISTRICT,10142
Yirgachafe Branch,HAWASSA DISTRICT,10311
Yirgalem Branch,HAWASSA DISTRICT,10438
Head Office,HEAD OFFICE,
Arba Minch Branch,HOSSANA DISTRICT,10176
Areka Branch,HOSSANA DISTRICT,10494
Boditi Branch,HOSSANA DISTRICT,10552
Bonosha Branch,HOSSANA DISTRICT,10495
Bui Branch,HOSSANA DISTRICT,10496
Butajira Branch,HOSSANA DISTRICT,10310
Conolel Bezabih Petros,HOSSANA DISTRICT,10491
Damboya Branch,HOSSANA DISTRICT,10551
Dawuro Branch,HOSSANA DISTRICT,10600
Doyo Gena Branch,HOSSANA DISTRICT,10439
Durame Branch,HOSSANA DISTRICT,10492
Enseno Branch,HOSSANA DISTRICT,10498
Geja Geribo Branch,HOSSANA DISTRICT,10601
Gesupa Branch,HOSSANA DISTRICT,10563
Hadero Branch,HOSSANA DISTRICT,10440
Hadero Tunto Branch,HOSSANA DISTRICT,10440
Halaba Kulito Branch,HOSSANA DISTRICT,10336
Hambecho Branch,HOSSANA DISTRICT,10638
Hamus Gebeya,HOSSANA DISTRICT,10637
Homecho Branch,HOSSANA DISTRICT,10572
Hosana Branch,HOSSANA DISTRICT,10093
Jajura Branch,HOSSANA DISTRICT,10554
Kela Branch,HOSSANA DISTRICT,10497
Konso Branch,HOSSANA DISTRICT,10553
Koshe Mareko Branch,HOSSANA DISTRICT,10648
Lisana Branch,HOSSANA DISTRICT,10602
OMER IBN AL-KHATTAB Br,HOSSANA DISTRICT,10423
Sankura Branch,HOSSANA DISTRICT,10562
